name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
4test1_400_4_99999999999, #4, 4, 400, 176.744109, 0.778932, 1.013276, 1671, 4000, 99999999999, 1
4test2_200_4_99999999999, #4, 4, 200, 183.468472, 0.657417, 0.400029, 1628, 2000, 99999999999, 1
4test3_4000_4_99999999999, #4, 4, 4000, 44.281295, 0.021519, 0.222269, 401, 40000, 99999999999, 1
4test4_1000_4_99999999999, #4, 4, 1000, 68.477512, 0.160442, 0.651487, 660, 10000, 99999999999, 1
4test5_400_4_99999999999, #4, 4, 400, 231.652378, 0.799143, 0.955212, 2023, 4000, 99999999999, 1
4test6_200_4_99999999999, #4, 4, 200, 209.864353, 0.836136, 0.398742, 1741, 2000, 99999999999, 1
4test7_1500_4_99999999999, #4, 4, 1500, 53.397931, 0.119230, 0.808871, 426, 15000, 99999999999, 1
4test8_200_4_99999999999, #4, 4, 200, 183.180720, 0.951652, 0.444346, 1736, 2000, 99999999999, 1
4test9_200_4_99999999999, #4, 4, 200, 183.494509, 0.811117, 0.379865, 1726, 2000, 99999999999, 1
4test10_2000_4_99999999999, #4, 4, 2000, 78.711399, 0.073549, 0.404301, 726, 20000, 99999999999, 1
4test11_1_4_99999999999, #4, 4, 1, 1.071214, 0.522995, 0.347265, 9, 10, 99999999999, 1
4test12_1_4_99999999999, #4, 4, 1, 1.074039, 0.913441, 0.796805, 9, 10, 99999999999, 1
4test13_1000_4_99999999999, #4, 4, 1000, 112.229917, 0.407555, 1.385613, 934, 10000, 99999999999, 1
4test14_1000_4_99999999999, #4, 4, 1000, 126.626148, 0.323735, 1.119254, 993, 10000, 99999999999, 1
4test15_800_4_99999999999, #4, 4, 800, 110.664747, 0.331467, 0.956611, 1017, 8000, 99999999999, 1
4test16_800_4_99999999999, #4, 4, 800, 101.415288, 0.261043, 0.793008, 932, 8000, 99999999999, 1
4test17_400_4_99999999999, #4, 4, 400, 232.136774, 0.735256, 0.903171, 2163, 4000, 99999999999, 1
4test18_600_4_99999999999, #4, 4, 600, 183.100253, 0.858211, 1.455893, 1725, 6000, 99999999999, 1
4test19_100_4_99999999999, #4, 4, 100, 108.216036, 0.591666, 0.254570, 921, 1000, 99999999999, 1
4test20_1500_4_99999999999, #4, 4, 1500, 70.280818, 0.087608, 0.483077, 609, 15000, 99999999999, 1
4test21_1500_4_99999999999, #4, 4, 1500, 83.875864, 0.097786, 0.464561, 753, 15000, 99999999999, 1
4test22_2000_4_99999999999, #4, 4, 2000, 112.378306, 0.115445, 0.549068, 984, 20000, 99999999999, 1
